integrator,problem,dt,mean_time,std_time,rms_error,max_error,position_rms,velocity_rms,energy_drift,max_energy_drift,n_steps,n_evaluations
Forward Euler,Nonlinear Pendulum,0.02,0.005596289993263781,0.0004589646586575311,13.473902602378589,30.515369316470135,13.403326994698261,1.3772715097530237,0.24734011507383039,0.4454950691338735,2500,2500
Forward Euler,Nonlinear Pendulum,0.01,0.01091642999672331,0.00046162255938332023,3.2878238554689245,10.727600430649442,2.968287672529953,1.4138790604918285,0.1272896005412458,0.2293233851857024,5000,5000
Forward Euler,Nonlinear Pendulum,0.005,0.023024120001355185,0.002626856042722328,2.025860898862,4.632795827263457,1.7219480393663422,1.0672428642349225,0.0741305705618084,0.13351980388425266,10000,10000
Forward Euler,Nonlinear Pendulum,0.002,0.05562523000407964,0.0033430419291502426,0.8712076165987935,2.545857807306002,0.7403634325698332,0.45920006416938197,0.030975477198756797,0.05579128299506042,25000,25000
Forward Euler,Nonlinear Pendulum,0.001,0.11093692998983898,0.0037285315331651654,0.4385902788117343,1.2758650912814111,0.3723860891229485,0.23171109877576068,0.016265379751280257,0.029296284893464808,50000,50000
Forward Euler,Nonlinear Pendulum,0.0005,0.2220548500015866,0.007525099311913411,0.21836936546318517,0.6295804748856516,0.18490673010687864,0.11616660851542518,0.008270104807580425,0.014895646474077484,100000,100000
Forward Euler,Nonlinear Pendulum,0.0001,1.14346667000209,0.06402182500294372,0.043343215462090835,0.12380513970319079,0.03661842576460814,0.023188902973515436,0.0016669327051337902,0.0030023851993981054,500000,500000
RK4,Nonlinear Pendulum,0.5,0.0010865200019907206,0.00014542758215161007,0.2127270627317134,0.5982117935606925,0.17868758501158138,0.1154276837729633,0.008948034323454599,0.016479628538974556,100,400
RK4,Nonlinear Pendulum,0.2,0.002854159998241812,0.00018000832693538618,0.0022901163190793467,0.006636288630834241,0.001932810812618495,0.0012283627792873614,0.0001077733932989137,0.00019646608952905709,250,1000
RK4,Nonlinear Pendulum,0.1,0.006182970001827925,0.0006289206954322826,6.365708242562673e-05,0.00018951069100185604,5.381420360341614e-05,3.400375910797375e-05,3.6506863659288763e-06,6.726932846756739e-06,500,2000
RK4,Nonlinear Pendulum,0.05,0.011298309999983758,0.0010086178927394955,1.4540821801677226e-06,4.61941311253165e-06,1.2337032037825244e-06,7.696306852367907e-07,1.2912626422745743e-07,2.4242057605761147e-07,1000,4000
RK4,Nonlinear Pendulum,0.02,0.027973989996826275,0.0013891930814705878,8.36821912583516e-09,1.7010474127902664e-08,7.0286268209823095e-09,4.541530177083653e-09,1.774032161741617e-09,3.456231745246896e-09,2500,10000
RK4,Nonlinear Pendulum,0.01,0.057930070004658774,0.004157480200320195,1.1815891269721113e-09,2.242702333478095e-09,9.886119357570032e-10,6.471470508760025e-10,7.892199501557848e-11,1.5863110824909654e-10,5000,20000
RK4,Nonlinear Pendulum,0.005,0.11541549999965355,0.0026386355118959443,1.69419017615055e-10,4.3341990923575206e-10,1.424918408425669e-10,9.164539717272711e-11,3.925228482497304e-12,8.104850124368568e-12,10000,40000
RK4,Nonlinear Pendulum,0.002,0.29438013000180946,0.004454315373890435,8.323828064117084e-11,2.5415525799880764e-10,7.044514356198378e-11,4.434064853641421e-11,9.221328218932107e-14,1.949551631241775e-13,25000,100000
RK4,Nonlinear Pendulum,0.001,0.5815407399961259,0.009435924451764327,7.267424221919273e-11,1.8064022381237205e-10,6.10703094164997e-11,3.939495894028679e-11,1.4300455526686158e-14,4.218847493575595e-14,50000,200000
RK4,Nonlinear Pendulum,0.0005,1.163129619997926,0.010559579180727972,9.442376419259162e-11,3.234132611012392e-10,8.032167568307205e-11,4.964147116838439e-11,1.0478782066968305e-14,4.440892098500626e-14,100000,400000
RK4,Nonlinear Pendulum,0.0001,5.960325939994073,0.3179911557918591,3.271092551776737e-10,1.1880153952782163e-09,2.790227346236624e-10,1.7072427591302213e-10,8.148794054430646e-14,1.5720758028692217e-13,500000,2000000
RK45 (Adaptive),Nonlinear Pendulum,0.5,0.0250736300018616,0.0011983305968461598,5.765545084337749e-06,1.624746832571821e-05,4.9881358848729165e-06,2.8913682770574674e-06,2.1776221325234498e-07,3.956139298377792e-07,584,3810
RK45 (Adaptive),Nonlinear Pendulum,0.2,0.025659509998513387,0.00129521086722756,5.765523814330837e-06,1.6247417924735812e-05,4.9881175670259e-06,2.89135746512665e-06,2.177618726302879e-07,3.95613316772625e-07,584,3804
RK45 (Adaptive),Nonlinear Pendulum,0.1,0.026516690000426023,0.001446874227178123,5.765540814842208e-06,1.6247458170465914e-05,4.988132207282857e-06,2.8913661079632954e-06,2.1776214520190143e-07,3.956138074912019e-07,584,3804
RK45 (Adaptive),Nonlinear Pendulum,0.05,0.027308589994208887,0.0029040611772991705,5.765545084337749e-06,1.624746832571821e-05,4.9881358848729165e-06,2.8913682770574674e-06,2.1776221325234498e-07,3.956139298377792e-07,584,3804
RK45 (Adaptive),Nonlinear Pendulum,0.02,0.025466629996662958,0.0017484951940345017,5.792980544922687e-06,1.631440894757796e-05,5.011774476408002e-06,2.905295198680859e-06,2.1825963191435958e-07,3.965098527292099e-07,584,3792
RK45 (Adaptive),Nonlinear Pendulum,0.01,0.025503949995618315,0.0011352846037548617,5.775277103027395e-06,1.6286112980982215e-05,4.996533660837162e-06,2.896286759434169e-06,2.181142254989632e-07,3.962479548924591e-07,585,3816
RK45 (Adaptive),Nonlinear Pendulum,0.005,0.025784409994957968,0.002731288931202498,5.7601548060961316e-06,1.62469393632666e-05,4.983480454654355e-06,2.8886512334081437e-06,2.1777222468073176e-07,3.9563196208014517e-07,585,3798
RK45 (Adaptive),Nonlinear Pendulum,0.002,0.025457080005435274,0.0017594145748135092,5.847148968570699e-06,1.646320927250469e-05,5.058352076417703e-06,2.932955051080413e-06,2.1919452000290387e-07,3.981937202190977e-07,586,3822
RK45 (Adaptive),Nonlinear Pendulum,0.001,0.025595209997845814,0.0015027640381574262,5.753346937958025e-06,1.6242394956405625e-05,4.977598016435357e-06,2.8852242504335386e-06,2.177406508775661e-07,3.95575093570244e-07,586,3804
RK45 (Adaptive),Nonlinear Pendulum,0.0005,0.02643180000013672,0.001735339530683711,5.74836344515786e-06,1.6238904483364368e-05,4.973253689313429e-06,2.8827816496150933e-06,2.1764073938895122e-07,3.953951379642717e-07,587,3834
